NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,73,SULAWESI SELATAN,1,
1,73.01,KAB. KEPULAUAN SELAYAR,123,
2,73.02,KAB. BULUKUMBA,8,
3,73.04,KAB. JENEPONTO,1,
4,73.05,KAB. TAKALAR,13,
5,73.06,KAB. GOWA,4,
6,73.07,KAB. SINJAI,10,
7,73.08,KAB. BONE,5,
8,73.10,KAB. PANGKAJENE DAN KEPULAUAN,133,
9,73.11,KAB. BARRU,10,
10,73.13,KAB. WAJO,1,
11,73.15,KAB. PINRANG,9,
12,73.22,KAB. LUWU UTARA,16,
13,73.24,KAB. LUWU TIMUR,20,
14,73.71,KOTA MAKASSAR,13,
15,73.73,KOTA PALOPO,3,
,,TOTAL,370,
