K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
14.01.13.2003,,,,,,3 Salo Timur,,
14.01.13.2004,,,,,,4 Sipungguk,,"Perbaikan nama sesuai Surat Gub Riau No. 410/DPMD/07.20 tgl 20
Sept 2018 dan Srt Ditjen Pemdes No.145/1820/SET tgl 15 Nov 2018 hal
penyampaian hasil validasi"
14.01.13.2005,,,,,,5 Ganting Damai,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.13.2006,,,,,,6 Ganting,,
14.01.14,,,,14Rumbio Jaya,-,7,,Perda No. 22/2003
14.01.14.2001,,,,,,1 Pulau Payung,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.14.2002,,,,,,2 Teratak,,
14.01.14.2003,,,,,,3 Alam Panjang,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.14.2004,,,,,,4 Bukit Kratai,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes tgl 23
Juni 2016, Hasil validasi data nama desa tgl 28 April 2017 dan
rekomendasi Ditjen Bina Pemdes No.146/3672/BPD tgl 21 Juni 2017,
Srt Ditjen Pemdes No. 145/1820/SET tgl 15 Nov 2018"
14.01.14.2005,,,,,,5 Batang Batindih,,"Perbaikan nama Ditjen BPD tgl 23 Juni 2016, Hasil validasi data nama
desa tgl 28 April 2017, rekomendasi Ditjen BPD No.146/3672/BPD tgl
21 Juni 2017, Srt Ditjen Pemdes No. 145/1820/SET tgl 15 Nov 2018,
Surat Ditjen BPD No 140/5118/BPD tgl 18 Juli 2019"
14.01.14.2006,,,,,,6 Tambusai,,
14.01.14.2007,,,,,,7 Simpang Petai,,"Pemekaran sebagian Desa Teratak Perda No.17/2011, Perbaikan nama
sesuai hasil Validasi Ditjen BPD tgl 23 Juni 2016, Perbaikan nama hasil
validasi data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina
Pemdes No.146/3672/BPD tgl 21 Juni 2017"
14.01.15,,,,15Bangkinang,2,7,,"Perda No. 22/2003, Perubahan Nama dari Kec. Bangkinang Seberang
sesuai dengan Perda No 8/2013"
14.01.15.2001,,,,,,1 Pulau Lawas,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.15.2002,,,,,,2 Muara Uwai,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.15.2003,,,,,,3 Laboy Jaya,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
,,,,,,,,
