K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
51.02.03.2007,,,,,,7 Tiying Gading,,"Perbaikan nama dari Ting Gading menjadi Tiying Gading sesuai Kep
Bup. Tabanan No. 99 Tahun 2013, Surat Kepala DPMD Kab. Tabanan
No. 414.4/101/DPMD tanggal 18 Januari 2021, Surat Sesditjen Bina
Pemerintahan Desa No. 145/2430/BPD tanggal 24 Mei 2021."
51.02.03.2008,,,,,,8 Mundeh Kauh,,
51.02.03.2009,,,,,,9 Angkah,,
51.02.03.2010,,,,,,10 Selabih,,PMD
51.02.03.2011,,,,,,11 Bengkel Sari,,PMD
51.02.04,,,,4Kerambitan,-,15,,
51.02.04.2001,,,,,,1 Tibubiu,,
51.02.04.2002,,,,,,2 Kelating,,
51.02.04.2003,,,,,,3 Penarukan,,
51.02.04.2004,,,,,,4 Belumbang,,
51.02.04.2005,,,,,,5 Tista,,
51.02.04.2006,,,,,,6 Kerambitan,,
51.02.04.2007,,,,,,7 Pangkung Karung,,
51.02.04.2008,,,,,,8 Samsam,,
51.02.04.2009,,,,,,9 Kukuh,,
51.02.04.2010,,,,,,10 Baturiti,,
51.02.04.2011,,,,,,11 Meliling,,
51.02.04.2012,,,,,,12 Sembung Gede,,
51.02.04.2013,,,,,,13 Batuaji,,
51.02.04.2014,,,,,,14 Kesiut,,
51.02.04.2015,,,,,,15 Timpag,,
51.02.05,,,,5Tabanan,-,12,,
51.02.05.2001,,,,,,1 Sudimara,,
51.02.05.2002,,,,,,2 Gubug,,
51.02.05.2003,,,,,,3 Bongan,,
51.02.05.2004,,,,,,4 Delod Peken,,
51.02.05.2005,,,,,,5 Dauh Peken,,
51.02.05.2006,,,,,,6 Dajan Peken,,
51.02.05.2007,,,,,,7 Denbantas,,
51.02.05.2008,,,,,,8 Subamia,,
51.02.05.2009,,,,,,9 Wanasari,,
51.02.05.2010,,,,,,10 Tunjuk,,
51.02.05.2011,,,,,,11 Buahan,,
51.02.05.2012,,,,,,12 Sesandan,,"Perbaikan Nama dari Sedandan menjadi Sesandan sesuai Kep Bup.
Tabanan No. 99 Tahun 2013, Surat Kepala DPMD Kab. Tabanan No.
414.4/101/DPMD tanggal 18 Januari 2021, Surat Sesditjen Bina
Pemerintahan Desa No. 145/2430/BPD tanggal 24 Mei 2021."
51.02.06,,,,6Kediri,-,15,,
,,,,,,,,
