NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,33.24,24 KAB. KENDAL,Kendal,,,20,20,266,1.008,1.053.400,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,33.24.01,1 Plantungan,,,,,,12,,,
,33.24.02,2 Pageruyung,,,,,,14,,,
,33.24.03,3 Sukorejo,,,,,,18,,,
,33.24.04,4 Patean,,,,,,14,,,
,33.24.05,5 Singorojo,,,,,,13,,,
,33.24.06,6 Limbangan,,,,,,16,,,
,33.24.07,7 Boja,,,,,,18,,,
,33.24.08,8 Kaliwungu,,,,,,9,,,
,33.24.09,9 Brangsong,,,,,,12,,,
,33.24.10,10 Pegandon,,,,,,12,,,
,33.24.11,11 Gemuh,,,,,,16,,,
,33.24.12,12 Weleri,,,,,,16,,,
,33.24.13,13 Cepiring,,,,,,15,,,
,33.24.14,14 Patebon,,,,,,18,,,
,33.24.15,15 Kendal,,,,,20,,,,
,33.24.16,16 Rowosari,,,,,,16,,,
,33.24.17,17 Kangkung,,,,,,15,,,
,33.24.18,18 Ringinarum,,,,,,12,,,
,33.24.19,19 Ngampel,,,,,,12,,,
,33.24.20,20 Kaliwungu Selatan,,,,,,8,,,Perda No. 5/2006.
,33.25,25 KAB. BATANG,Batang,,,15,9,239,857,818.979,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,33.25.01,1 Wonotunggal,,,,,,15,,,
,33.25.02,2 Bandar,,,,,,17,,,
,33.25.03,3 Blado,,,,,,18,,,
,33.25.04,4 Reban,,,,,,19,,,
,33.25.05,5 Bawang,,,,,,20,,,
,33.25.06,6 Tersono,,,,,,20,,,
,33.25.07,7 Gringsing,,,,,,15,,,
,33.25.08,8 Limpung,,,,,,17,,,
,33.25.09,9 Subah,,,,,,17,,,
,33.25.10,10 Tulis,,,,,,17,,,
,33.25.11,11 Batang,,,,,9,12,,,
