NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,35.15,15 KAB. SIDOARJO,Sidoarjo,,,18,28,318,724,1.955.002,"Luas Wilayah Definitif, PBW & PAWAP, sesuai Surat Kapus PPBW
BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022"
,35.15.01,1 Tarik,,,,,,20,,,
,35.15.02,2 Prambon,,,,,,20,,,
,35.15.03,3 Krembung,,,,,,19,,,
,35.15.04,4 Porong,,,,,3,12,,,
,35.15.05,5 Jabon,,,,,,14,,,
,35.15.06,6 Tanggulangin,,,,,,18,,,
,35.15.07,7 Candi,,,,,,24,,,
,35.15.08,8 Sidoarjo,,,,,14,10,,,
,35.15.09,9 Tulangan,,,,,,22,,,
,35.15.10,10 Wonoayu,,,,,,23,,,
,35.15.11,11 Krian,,,,,3,19,,,
,35.15.12,12 Balongbendo,,,,,,20,,,
,35.15.13,13 Taman,,,,,8,16,,,
,35.15.14,14 Sukodono,,,,,,19,,,
,35.15.15,15 Buduran,,,,,,15,,,
,35.15.16,16 Gedangan,,,,,,15,,,
,35.15.17,17 Sedati,,,,,,16,,,
,35.15.18,18 Waru,,,,,,17,,,
,35.16,16 KAB. MOJOKERTO,Mojokerto,,,18,5,299,985,1.128.419,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,35.16.01,1 Jatirejo,,,,,,19,,,
,35.16.02,2 Gondang,,,,,,18,,,
,35.16.03,3 Pacet,,,,,,20,,,
,35.16.04,4 Trawas,,,,,,13,,,
,35.16.05,5 Ngoro,,,,,,19,,,
,35.16.06,6 Pungging,,,,,,19,,,
,35.16.07,7 Kutorejo,,,,,,17,,,
,35.16.08,8 Mojosari,,,,,5,14,,,
,35.16.09,9 Dlanggu,,,,,,16,,,
,35.16.10,10 Bangsal,,,,,,17,,,
,35.16.11,11 Puri,,,,,,16,,,
,35.16.12,12 Trowulan,,,,,,16,,,
,35.16.13,13 Sooko,,,,,,15,,,
