NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"1
2
3
4
5
6
7
8
9
10","52.01
52.02
52.03
52.04
52.05
52.06
52.07
52.08
52.71
52.72","KAB. LOMBOK BARAT
KAB. LOMBOK TENGAH
KAB. LOMBOK TIMUR
KAB. SUMBAWA
KAB. DOMPU
KAB. BIMA
KAB. SUMBAWA BARAT
KAB. LOMBOK UTARA
KOTA MATARAM
KOTA BIMA","10
12
21
24
8
18
8
5
6
5","3
12
15
8
9
0
7
0
50
41","119
142
239
157
72
191
58
43
0
0","923,058
1.169,522
1.606,470
6.655,917
2.281,752
4.216,088
1.743,580
811,190
60,424
207,888","726.228
1.066.915
1.369.917
519.564
254.190
533.274
145.009
257.369
444.974
156.067","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Pemindahan ibukota PP No. 31/2008.
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
UU No. 26/2008.
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,,JUMLAH,117,145,1.021,"19.675,889",5.473.507,
