K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12.05.18.1004,,,,,2Pangkalan Batu,,,
12.05.18.2005,,,,,,3 Lubuk Kertang,,
12.05.18.2006,,,,,,4 Perlis,,
12.05.18.2007,,,,,,5 Kelantan,,
12.05.19,,,,19Batang Serangan,1,7,,
12.05.19.1001,,,,,1Batang Serangan,,,
12.05.19.2002,,,,,,1 Sei Bamban,,
12.05.19.2003,,,,,,2 Sei Musam,,
12.05.19.2004,,,,,,3 Sei Serdang,,
12.05.19.2005,,,,,,4 Namo Sialang,,
12.05.19.2006,,,,,,5 Kwala Musam,,
12.05.19.2007,,,,,,6 Karya Jadi,,
12.05.19.2008,,,,,,"7 Paluh Pakeh
Babussalam",,"Perbaikan nama sesuai Perda 16/2005 dan BA No. 2826.a/BP/2017
Rapat Penyusunan dan Validasi Data Wilayah tgl 30 Okt s/d 1 Nov
2017"
12.05.20,,,,20Sawit Seberang,1,6,,
12.05.20.1001,,,,,1Sawit Seberang,,,
12.05.20.2002,,,,,,1 Alur Gadung,,"Perbaikan Nama sesuai PP 43/1999, Surat Bupati No.
138-1221/Pem/2017 tgl 12 Juni 2017 hal verifikasi nama wila adm pem
kec, desa dan kel se Kab. Langkat"
12.05.20.2003,,,,,,2 Simpang Tiga,,
12.05.20.2004,,,,,,3 Sei Litur Tasik,,
12.05.20.2005,,,,,,4 Sawit Hulu,,
12.05.20.2006,,,,,,5 Mekar Sawit,,Perda No. 24/2007
12.05.20.2007,,,,,,6 Alur Melati,,Perda No. 24/2007
12.05.21,,,,21Sirapit,-,10,,Perda No. 27/2007
12.05.21.2001,,,,,,1 Serapit,,Semula wil. Kec. Salapian
12.05.21.2002,,,,,,2 Gunung Tinggi,,Perda No. 27/2007
12.05.21.2003,,,,,,3 Sidorejo,,Perda No. 27/2007
12.05.21.2004,,,,,,4 Suka Pulung,,Semula wil. Kec. Kuala
12.05.21.2005,,,,,,5 Aman Damai,,Semula wil. Kec. Kuala
12.05.21.2006,,,,,,6 Tanjung Kariahan,,Semula wil. Kec. Kuala
12.05.21.2007,,,,,,7 Sebertung,,Semula wil. Kec. Bahorok
12.05.21.2008,,,,,,8 Pulau Semikat,,Perda No. 27/2007
12.05.21.2009,,,,,,9 Sumber Jaya,,Semula wil. Kec. Bahorok
12.05.21.2010,,,,,,"10 Perkebunan Amal
Tani",,Semula wil. Kec. Bahorok
12.05.22,,,,22Kutambaru,-,8,,Perda No. 27/2007
12.05.22.2001,,,,,,1 Namotogan,,Semula wil. Kec. Salapian
12.05.22.2002,,,,,,2 Kuta Gajah,,Semula wil. Kec.Salapian
,,,,,,,,
