K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
95.03.37.2002,,,,,,2 Megom,,
95.03.37.2003,,,,,,3 Mondon,,
95.03.37.2004,,,,,,4 Horoman,,"Perbaikan nama desa/kampung semula Horomon menjadi Horoman,
sesuai:
Perda Kab. Yahukimo No.5/2006; dan
BA No.32/TopoII/IX/2022 Tanggal 8 September 2022."
95.03.37.2005,,,,,,5 Makero,,
95.03.37.2006,,,,,,6 Orisin,,
95.03.37.2007,,,,,,7 Monamna,,
95.03.37.2008,,,,,,8 Ejub,,
95.03.37.2009,,,,,,9 Dolbol,,
95.03.37.2010,,,,,,10 Hemuka,,
95.03.37.2011,,,,,,11 Phoy,,
95.03.37.2012,,,,,,12 Sulda,,
95.03.37.2013,,,,,,13 Mekdua,,
95.03.37.2014,,,,,,14 Bera,,
95.03.37.2015,,,,,,15 Holdomen,,
95.03.37.2016,,,,,,16 Asok,,
95.03.38,,,,38Korupun,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.03.38.2001,,,,,,1 Korupun,,"Perbaikan nama desa/kecamatan semula Koropun menjadi Korupun,
sesuai:
Perda Kab. Yahukimo No.5/2006; dan
BA No.32/TopoII/IX/2022 Tanggal 8 September 2022."
95.03.38.2002,,,,,,2 Dagi,,
95.03.38.2003,,,,,,3 Wemin,,
95.03.38.2004,,,,,,4 Morome,,
95.03.38.2005,,,,,,5 Moo,,
95.03.38.2006,,,,,,6 Batkuk,,
95.03.38.2007,,,,,,7 Maldua,,
95.03.38.2008,,,,,,8 Amdua,,
95.03.38.2009,,,,,,9 Somsek,,
95.03.38.2010,,,,,,10 Basal,,
95.03.38.2011,,,,,,11 Yamdua,,
95.03.38.2012,,,,,,12 Dildau,,
95.03.39,,,,39Langda,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.03.39.2001,,,,,,1 Langda,,
95.03.39.2002,,,,,,2 Alirji,,
95.03.39.2003,,,,,,3 Laryi,,
95.03.39.2004,,,,,,4 Wasumurji,,
95.03.39.2005,,,,,,5 Kirabuk,,
,,,,,,,,
