K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
32.13.03.1006,,,,,6Sukamelang,,,
32.13.03.1007,,,,,7Dangdeur,,,
32.13.03.1008,,,,,8Wanareja,,,
32.13.04,,,,4Kalijati,-,10,,
,,,,,,Jambelaer,,"Menjadi wil. Kec. Dawuan, Perda No.3/2007"
,,,,,,Cisampih,,"Menjadi wil. Kec. Dawuan, Perda No.3/2007"
,,,,,,Sukasari,,"Menjadi wil. Kec. Dawuan, Perda No.3/2007"
,,,,,,Rawalele,,"Menjadi wil. Kec. Dawuan, Perda No.3/2007"
,,,,,,Dawuan Kaler,,"Menjadi wil. Kec. Dawuan, Perda No.3/2007"
32.13.04.2006,,,,,,1 Marengmang,,
32.13.04.2007,,,,,,2 Kalijati Timur,,
32.13.04.2008,,,,,,3 Kaliangsana,,
,,,,,,Manyeti,,"Menjadi wil. Kec. Dawuan, Perda No.3/2007"
,,,,,,Batusari,,"Menjadi wil. Kec. Dawuan, Perda No.3/2007"
32.13.04.2011,,,,,,4 Kalijati Barat,,
32.13.04.2012,,,,,,5 Tanggulun Timur,,
32.13.04.2013,,,,,,6 Tanggulun Barat,,
,,,,,,Dawuan Kidul,,"Menjadi wil. Kec. Dawuan, Perda No.3/2007"
,,,,,,Margasari,,"Menjadi wil. Kec. Dawuan, Perda No.3/2007"
,,,,,,Situsari,,"Menjadi wil. Kec. Dawuan, Perda No.3/2007"
32.13.04.2017,,,,,,7 Caracas,,
32.13.04.2018,,,,,,8 Ciruluk,,
32.13.04.2019,,,,,,9 Jalupang,,
32.13.04.2020,,,,,,10 Banggalamulya,,
32.13.05,,,,5Pabuaran,-,8,,
32.13.05.2001,,,,,,1 Cihambulu,,
32.13.05.2002,,,,,,2 Siluman,,
32.13.05.2003,,,,,,3 Pringkasap,,
32.13.05.2004,,,,,,4 Pabuaran,,
32.13.05.2005,,,,,,5 Karanghegar,,
32.13.05.2006,,,,,,6 Salamjaya,,
32.13.05.2007,,,,,,7 Kadawung,,
32.13.05.2008,,,,,,8 Balebandung Jaya,,
32.13.06,,,,6Purwadadi,-,10,,
32.13.06.2001,,,,,,1 Wanakerta,,
32.13.06.2002,,,,,,2 Pagon,,
32.13.06.2003,,,,,,3 Prapatan,,Perda No. 03/2007
32.13.06.2004,,,,,,4 Purwadadi,,
32.13.06.2005,,,,,,5 Belendung,,
32.13.06.2006,,,,,,6 Koranji,,
