NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
XXV,71,SULAWESI UTARA,,11,4,171,332,1507,14.500,2.664.313,
,71.01,"1 KAB. BOLAANG
MONGONDOW",Lolak,,,15,2,200,3.269,252.628,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,71.01.05,1 Sang Tombolang,,,,,,12,,,
,71.01.09,2 Dumoga Barat,,,,,,12,,,
,71.01.10,3 Dumoga Timur,,,,,1,15,,,
,71.01.11,4 Dumoga Utara,,,,,,16,,,
,71.01.12,5 Lolak,,,,,,26,,,
,71.01.13,6 Bolaang,,,,,1,10,,,
,71.01.14,7 Lolayan,,,,,,14,,,
,71.01.19,8 Passi Barat,,,,,,13,,,
,71.01.20,9 Poigar,,,,,,20,,,
,71.01.22,10 Passi Timur,,,,,,13,,,
,71.01.31,11 Bolaang Timur,,,,,,9,,,Perda No. 5/2007
,71.01.32,12 Bilalang,,,,,,8,,,Perda No. 6/2007
,71.01.33,13 Dumoga,,,,,,12,,,Pemekaran Kec. Dumoga Timur Perda No. 2/2012
,71.01.34,14 Dumoga Tenggara,,,,,,10,,,Pemekaran Kec. Dumoga Utara Perda No. 3/2012
,71.01.35,15 Dumoga Tengah,,,,,,10,,,Pemekaran Kec. Dumoga Barat Perda No. 4/2012
,71.02,2 KAB. MINAHASA,Tondano,,,25,43,227,1.128,344.440,"Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,71.02.01,1 Tondano Barat,,,,,9,,,,
,71.02.02,2 Tondano Timur,,,,,11,,,,
,71.02.03,3 Eris,,,,,,8,,,
,71.02.04,4 Kombi,,,,,,13,,,
,71.02.05,5 Lembean Timur,,,,,,11,,,
,71.02.06,6 Kakas,,,,,,13,,,
,71.02.07,7 Tompaso,,,,,,10,,,
,71.02.08,8 Remboken,,,,,,11,,,
,71.02.09,9 Langowan Timur,,,,,,8,,,
,71.02.10,10 Langowan Barat,,,,,,16,,,
,71.02.11,11 Sonder,,,,,,19,,,
,71.02.12,12 Kawangkoan,,,,,6,4,,,
,71.02.13,13 Pineleng,,,,,,14,,,
