K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,"Purba Sinomba
Tapus",,"Bergabung dg Desa Simartokis, Purba Tua, Panguripan, dan Desa Janji
Mauli, Perda No. 5/2008"
,,,,,,Purba Tua Tapus,,"Bergabung dg Desa Simartokis, Purba Sinomba, Panguripan, dan Desa
Janji Mauli, Perda No. 5/2008"
,,,,,,Panguripan,,"Bergabung dg Desa Simartokis, Purba Sinomba, Purba Tua, dan Desa
Janji Mauli, Perda No. 5/2008"
,,,,,,Janji Nauli Tapus,,"Bergabung dg Desa Simartokis, Purba Sinomba, Purba Tua, dan Desa
Panguripan, Perda No. 5/2008"
,,,,,,Lampining,,"Penggabungan Desa Parsanggrahan, Huta Baru Lobu Tayas, Lobu
Tayas, Tanjung Selamat, Siranap, dan Desa Gariang, Perda No.
5/2008"
,,,,,,Tolang Godang,,"Bergabung dg Desa Tolang Julu, Tolang Godang, dan Desa Tolang
Dolok, Perda No. 5/2008"
,,,,,,Sipagabu,,"Bergabung dg Desa Tapus Dolok, Perda No. 5/2008"
12.03.22.2043,,,,,,7 Tolang,,"Penggabungan Desa Tolang Gunung, Tolang Julu, Tolang Godang, dan
Desa Tolang Dolok, Perda No. 5/2008"
12.03.22.2044,,,,,,8 Tapus Sipagabu,,"Penggabungan Desa Sipagabu dan Desa Tapus Dolok, Perda No.
5/2008"
12.03.22.2045,,,,,,9 Huta baru,,"Penggabungan Desa Huta Baru Tapus dan Desa Tanjung Baru, Perda
No. 5/2008"
12.03.22.2046,,,,,,10 Aek Latong,,"Penggabungan Desa Padang Panjang, Aek Horsik, dan Desa Aek
Pisang, Perda No. 5/2008"
12.03.22.2047,,,,,,11 Aek Urat,,"Penggabungan Desa Simartokis, Purba Sinomba, Purba Tua,
Panguripan, dan Desa Janji Mauli, Perda No. 5/2008"
12.03.22.2048,,,,,,12 Gorahut,,"Penggabungan Desa Gonting Pege, Huta Tonga Sihulambu, dan Desa
Ramba Padang, Perda No. 5/2008, Berdasarkan Perda Kabupaten
Tapanuli Selatan No.1 Tahun 2016"
,,,,Portibi,,,,"Menjadi wil. Kab. Padang Lawas Utara, UU No. 37/2007"
,,,,,,Sitopayan,,
,,,,,,Lantosan I,,
,,,,,,Aek Haruaya,,
,,,,,,Gunung Baringin,,
,,,,,,Hadungdung,,
,,,,,,Ronadaman Dolok,,
,,,,,,Sipirok,,
,,,,,,Tanjung Salamat,,
,,,,,,Rondaman Lobang,,
,,,,,,Papsarman,,
,,,,,,Haloban,,
,,,,,,Portibi Julu,,
,,,,,,Portibi Jae,,
,,,,,,Gunung Manaon,,
,,,,,,Pasir Pinang,,
,,,,,,Bahal,,
,,,,,,Bara,,
