NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,71.01,KAB. BOLAANG MONGONDOW,6,
2,71.02,KAB. MINAHASA,2,
3,71.03,KAB. KEPULAUAN SANGIHE,137,
4,71.04,KAB. KEPULAUAN TALAUD,16,
5,71.06,KAB. MINAHASA UTARA,57,
6,71.07,KAB. MINAHASA TENGGARA,28,
7,71.08,KAB. BOLAANG MONGONDOW UTARA,12,
8,71.09,KAB. KEP. SIAU TAGULANDANG BIARO,55,
9,71.10,KAB. BOLAANG MONGONDOW TIMUR,9,
10,71.11,KAB. BOLAANG MONGONDOW SELATAN,5,
11,71.71,KOTA MANADO,3,
12,71.72,KOTA BITUNG,23,
,,TOTAL,353,
