K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
72.07.15.2004,,,,,,4 Nulion,,Semula wil. Kec. Totikum
72.07.15.2005,,,,,,5 Peley,,Semula wil. Kec. Totikum
72.07.15.2006,,,,,,6 Kanali,,Semula wil. Kec. Totikum
72.07.15.2007,,,,,,7 Mata,,Pemekaran Desa Peley Perda No. 4/2007
72.07.15.2008,,,,,,8 Lobuton,,Pemekaran Desa Kalumbatan Perda No. 4/2007
72.07.16,,,,9Peling Tengah,-,11,,Perda No. 7/2007
72.07.16.2001,,,,,,1 Patukuki,,Semula wil. Kec. Liang
72.07.16.2002,,,,,,2 Balombong,,Semula wil. Kec. Liang
72.07.16.2003,,,,,,3 Kolak,,Semula wil. Kec. Liang
72.07.16.2004,,,,,,4 Koyobunga,,Semula wil. Kec. Liang
72.07.16.2005,,,,,,5 Alakasing,,Semula wil. Kec. Liang
72.07.16.2006,,,,,,6 Tombos,,Semula wil. Kec. Liang
72.07.16.2007,,,,,,7 Luk,,Semula wil. Kec. Liang
72.07.16.2008,,,,,,8 Labibi,,Semula wil. Kec. Liang
72.07.16.2009,,,,,,9 Popisi,,Semula wil. Kec. Liang
72.07.16.2010,,,,,,10 Tolulos,,Semula wil. Kec. Liang
72.07.16.2011,,,,,,11 Tunggaling,,"Pemekaran Desa Luk Perda No. 4/2007, Semula wil Kec. Liang Perda
No. 7/2007"
72.07.17,,,,10Bulagi Utara,1,11,,Perda No. 8/2007
72.07.17.2001,,,,,,1 Sambulangan,,Semula wil. Kec. Bulagi
72.07.17.2002,,,,,,2 Bangunemo,,Semula wil. Kec. Bulagi
72.07.17.2003,,,,,,3 Paisuluno,,Semula wil. Kec. Bulagi
72.07.17.2004,,,,,,4 Montop,,Semula wil. Kec. Bulagi
72.07.17.2005,,,,,,5 Bolubung,,Semula wil. Kec. Bulagi
72.07.17.2006,,,,,,6 Bakalinga,,Semula wil. Kec. Bulagi
72.07.17.2007,,,,,,7 Lukpanenteng,,Semula wil. Kec. Bulagi
72.07.17.2008,,,,,,8 Koyobunga,,Semula wil. Kec. Bulagi
72.07.17.1009,,,,,1Sabang,,,Semula wil. Kec. Bulagi
72.07.17.2010,,,,,,9 Ombuli,,Semula wil. Kec. Bulagi
72.07.17.2011,,,,,,10 Minanga,,Pemekaran Desa Paisuluno Perda No. 4/2007
72.07.17.2012,,,,,,11 Mandok,,Pemekaran Desa Bolubung Perda No. 4/2007
72.07.18,,,,11Buko Selatan,-,11,,Perda No. 9/2007
72.07.18.2001,,,,,,1 Lumbi-lumbia,,Semula wil. Kec. Buko
72.07.18.2002,,,,,,2 Kambani,,Semula wil. Kec. Buko
72.07.18.2003,,,,,,3 Tatabau,,Semula wil. Kec. Buko
72.07.18.2004,,,,,,4 Buko,,Semula wil. Kec. Buko
72.07.18.2005,,,,,,5 Palapat,,Semula wil. Kec. Buko
72.07.18.2006,,,,,,6 Labangun,,Semula wil. Kec. Buko
72.07.18.2007,,,,,,7 Seano,,Semula wil. Kec. Buko
72.07.18.2008,,,,,,8 Lelang Matamaling,,Pemekaran Desa Tatabau Perda No. 4/2007
,,,,,,,,
