K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
19,KEPULAUAN BANGKA BELITUNG,,,,,,,
19.04,KAB. BANGKA TENGAH,,,6,7,56,"2.259,982","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
19.04.01,,,,1Koba,5,6,,
19.04.01.1001,,,,,1Koba,,,
19.04.01.1002,,,,,2Arung Dalam,,,"Menjadi Kel.,Perda No. 32/2006"
19.04.01.2003,,,,,,1 Nibung,,
,,,,,,Perlang,,"Menjadi wil. Kec. Lubuk Besar, Perda No. 31/2006"
19.04.01.2005,,,,,,2 Kurau (Timur),,
19.04.01.2006,,,,,,3 Guntung,,
19.04.01.2007,,,,,,4 Penyak,,
19.04.01.2008,,,,,,5 Terentang III,,
,,,,,,Batu Beriga,,"Menjadi wil. Kec. Lubuk Besar, Perda No. 31/2006"
19.04.01.2010,,,,,,6 Kurau Barat,,
,,,,,,Lubuk Besar,,"Menjadi wil. Kec. Lubuk Besar, Perda No. 31/2006"
,,,,,,Kulur,,"Menjadi wil. Kec. Lubuk Besar, Perda No. 31/2006"
,,,,,,Lubuk Lingkuk,,"Perda No. 32/2006, Menjadi wil. Kec. Lubuk Besar, Perda No. 31/2006"
,,,,,,Lubuk Pabrik,,"Perda No. 32/2006, Menjadi wil. Kec. Lubuk Besar, Perda No. 31/2006"
,,,,,,Trubus,,"Perda No. 32/2006, Menjadi wil. Kec. Lubuk Besar, Perda No. 31/2006"
,,,,,,Kulur Ilir,,"Perda No. 32/2006, Menjadi wil. Kec. Lubuk Besar, Perda No. 31/2006"
19.04.01.1017,,,,,3Berok,,,Perda No. 32/2006
19.04.01.1018,,,,,4Padang Mulia,,,Perda No. 32/2006
19.04.01.1019,,,,,5Simpang Perlang,,,Perda No. 32/2006
19.04.02,,,,2Pangkalan Baru,1,11,,
19.04.02.1001,,,,,1Dul,,,"Menjadi Kel.,Perda No. 32/2006"
,,,,,,Namang,,"Menjadi wil. Kec. Namang, Perda No. 31/2006"
,,,,,,Cambai,,"Menjadi wil. Kec. Namang, Perda No. 31/2006"
19.04.02.2004,,,,,,1 Air Mesu,,
,,,,,,Selindung,,"Menjadi wil. Kec. Pangkal Balam Kota Pangkalpinang, PP 79/2007"
19.04.02.2006,,,,,,2 Mangkol,,
19.04.02.2007,,,,,,3 Tanjung Gunung,,
,,,,,,Kayu Besi,,"Menjadi wil. Kec. Namang, Perda No. 31/2006"
,,,,,,Jelutung,,"Menjadi wil. Kec. Namang, Perda No. 31/2006"
19.04.02.2010,,,,,,4 Benteng,,
,,,,,,Belilik,,"Menjadi wil. Kec Namang, Perda No. 31/2006"
19.04.02.2012,,,,,,5 Padang Baru,,
19.04.02.2013,,,,,,6 Jeruk,,
19.04.02.2014,,,,,,7 Beluluk,,Perda No. 32/2006
,,,,,,,,
