NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,92.05.23,22 Supnin,,,,,,4,,,Pemekaran Kec. Perda No. 2/2010
,92.05.24,23 Ayau,,,,,,4,,,Pemekaran Kec. Perda No. 2/2010
,92.05.25,24 Batanta Selatan,,,,,,4,,,Pemekaran Kec. Perda No. 2/2010
,92.06,6 KAB. TELUK BINTUNI,Bintuni,,,24,2,115,19.943,80.884,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,92.06.01,1 Bintuni,,,,,2,6,,,
,92.06.02,2 Merdey,,,,,,9,,,
,92.06.03,3 Babo,,,,,,4,,,
,92.06.04,4 Aranday,,,,,,4,,,
,92.06.05,5 Moskona Selatan,,,,,,5,,,
,92.06.06,6 Moskona Utara,,,,,,4,,,
,92.06.07,7 Wamesa,,,,,,4,,,"Perubahan Kec. Idoor, Perda No. 3/2007"
,92.06.08,8 Fafurwar,,,,,,3,,,
,92.06.09,9 Tembuni,,,,,,4,,,Perda No. 3/2007
,92.06.10,10 Kuri,,,,,,5,,,Perda No. 3/2007
,92.06.11,11 Manimeri,,,,,,6,,,Perda No. 3/2007
,92.06.12,12 Tuhiba,,,,,,5,,,Perda No. 3/2007
,92.06.13,13 Dataran Beimes,,,,,,6,,,Perda No. 3/2007
,92.06.14,14 Sumuri,,,,,,5,,,Perda No. 3/2007
,92.06.15,15 Kaitaro,,,,,,5,,,Perda No. 3/2007
,92.06.16,16 Aroba,,,,,,5,,,Perda No. 3/2007
,92.06.17,17 Masyeta,,,,,,4,,,Perda No. 3/2007
,92.06.18,18 Biscoop,,,,,,7,,,Perda No. 3/2007
,92.06.19,19 Tomu,,,,,,4,,,Perda No. 3/2007
,92.06.20,20 Kamundan,,,,,,4,,,Perda No. 3/2007
,92.06.21,21 Weriagar,,,,,,5,,,Perda No. 3/2007
,92.06.22,22 Moskona Barat,,,,,,4,,,Perda No. 3/2007
,92.06.23,23 Meyado,,,,,,4,,,Perda No. 3/2007
,92.06.24,24 Moskona Timur,,,,,,3,,,Perda No. 3/2007
,92.07,7 KAB. TELUK WONDAMA,Rasiei,,,13,1,75,4.847,45.030,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,92.07.01,1 Wasior,,,,,1,9,,,
,92.07.02,2 Windesi,,,,,,5,,,
,92.07.03,3 Teluk Duairi,,,,,,4,,,"Perubahan nama Distrik Wasior Utara, Perda No. 15/2008"
,92.07.04,4 Wondiboy,,,,,,4,,,"Perubahan nama Distrik Wasior Selatan, Perda No. 15/2008"
