NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,62,KALIMANTAN TENGAH,2,
1,62.01,KAB. KOTAWARINGIN BARAT,7,
2,62.02,KAB. KOTAWARINGIN TIMUR,7,
3,62.03,KAB. KAPUAS,14,
4,62.04,KAB. BARITO SELATAN,10,
5,62.06,KAB. KATINGAN,13,
6,62.08,KAB. SUKAMARA,1,
7,62.11,KAB. PULANG PISAU,6,
8,62.12,KAB. MURUNG RAYA,4,
9,62.71,KOTA PALANGKARAYA,5,
,,TOTAL,69,
