K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
21.02.10.2003,,,,,,1 Pangke,,"Semula wil Kec. Meral, Perda No. 2/2012"
21.02.10.2004,,,,,,2 Pangke Barat,,"Pemekaran sebagian Desa Pangke, Perda No. 2/2012"
21.02.11,,,,11Ungar,1,3,,"Pemekaran sebagian wil Kec. Kundur, Perda No. 2/2012"
21.02.11.1001,,,,,1Alai,,,"Semula wil Kec. Kundur, Perda No. 2/2012"
21.02.11.2002,,,,,,1 Batu Limau,,"Semula wil Kec. Kundur, Perda No. 2/2012"
21.02.11.2003,,,,,,2 Ngal,,"Semula wil Kec. Kundur, Perda No. 2/2012"
21.02.11.2004,,,,,,3 Sungai Buluh,,"Pemekaran Desa, Perda No. 2/2012, Semula wil Kec. Kundur, Perda
No. 2/2012.
Perbaikan nama desa semula Sungaibuluh menjadi Sungai Buluh,
sesuai:
Perda No. 2 Tahun 2012; dan
Surat Bup. Karimun No. 100/TAPEM/IX/2471/2022 tgl 15 September
2022."
21.02.12,,,,12Belat,-,6,,"Pemekaran sebagian wil Kec. Kundur Utara, Perda No. 2/2012"
21.02.12.2001,,,,,,1 Sebele,,"Semula wil Kec. Kundur Utara, Perda No. 2/2012"
21.02.12.2002,,,,,,2 Lebuh,,"Semula wil Kec. Kundur Utara, Perda No. 2/2012"
21.02.12.2003,,,,,,3 Penarah,,"Semula wil Kec. Kundur Utara, Perda No. 2/2012"
21.02.12.2004,,,,,,4 Sungai Asam,,"Semula wil Kec. Kundur Utara, Perda No. 2/2012.
Perbaikan nama desa semula Sei Asam menjadi Sungai Asam, sesuai:
Perda No. 2 Tahun 2012; dan
Surat Bup. Karimun No. 100/TAPEM/IX/2471/2022 tgl 15 September
2022."
21.02.12.2005,,,,,,5 Tebias,,"Pemekaran Desa, Perda No. 2/2012, Semula wil Kec. Kundur Utara,
Perda No. 2/2012"
21.02.12.2006,,,,,,6 Degong,,"Pemekaran Desa, Perda No. 2/2012, Semula wil Kec. Kundur Utara,
Perda No. 2/2012"
21.02.13,,,,13Selat Gelam,-,3,,"Pemekaran sebagian wil. Kec. Karimun, sesuai:
Perda No. 1 Tahun 2022; dan
Surat Gub. Kep. Riau No. 130/260/B.PEMDA-SET/2022 tgl 31 Januari
2022."
21.02.13.2001,,,,,,1 Parit,,Semula wil. Kec. Karimun sesuai Perda No. 1 Tahun 2022.
21.02.13.2002,,,,,,2 Tulang,,Semula wil. Kec. Karimun sesuai Perda No. 1 Tahun 2022.
21.02.13.2003,,,,,,3 Selat Mendaun,,Semula wil. Kec. Karimun sesuai Perda No. 1 Tahun 2022.
21.02.14,,,,14Sugie Besar,-,7,,"Pemekaran sebagian wil. Kec. Moro, sesuai:
Perda No. 1 Tahun 2022; dan
Surat Gub. Kep. Riau No. 140/2462/B.PEMTAS-SET/2021 tgl 29
November 2021."
21.02.14.2001,,,,,,1 Sugie,,Semula wil. Kec. Moro sesuai Perda No. 1 Tahun 2022.
21.02.14.2002,,,,,,2 Niur Permai,,Semula wil. Kec. Moro sesuai Perda No. 1 Tahun 2022.
21.02.14.2003,,,,,,3 Keban,,Semula wil. Kec. Moro sesuai Perda No. 1 Tahun 2022.
21.02.14.2004,,,,,,4 Rawa Jaya,,Semula wil. Kec. Moro sesuai Perda No. 1 Tahun 2022.
21.02.14.2005,,,,,,5 Tanjung Pelanduk,,Semula wil. Kec. Moro sesuai Perda No. 1 Tahun 2022.
21.02.14.2006,,,,,,6 Buluh Patah,,Semula wil. Kec. Moro sesuai Perda No. 1 Tahun 2022.
21.02.14.2007,,,,,,7 Selat Mie,,Semula wil. Kec. Moro sesuai Perda No. 1 Tahun 2022.
