K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Handil Gayam,,"Menjadi wil. Kec. Bumi Makmur, Perda No. 3/2008"
,,,,,,Handil Babirik,,"Menjadi wil. Kec. Bumi Makmur, Perda No. 3/2008"
,,,,,,Handil Birayang Atas,,"Menjadi wil. Kec. Bumi Makmur, Perda No. 3/2008"
,,,,,,"Handil Birayang
Bawah",,"Menjadi wil. Kec. Bumi Makmur, Perda No. 3/2008"
63.01.04.2017,,,,,,9 Tambak Karya,,
63.01.04.2018,,,,,,10 Raden,,
63.01.04.2019,,,,,,11 Sarikandi,,
,,,,,,Pantai Harapan,,"Menjadi wil. Kec. Bumi Makmur, Perda No. 3/2008"
,,,,,,Bumi Harapan,,"Menjadi wil. Kec. Bumi Makmur, Perda No. 3/2008"
,,,,,,Kurau Utara,,"Menjadi wil. Kec. Bumi Makmur, Perda No. 3/2008"
63.01.05,,,,5Bati Bati,-,14,,
63.01.05.2001,,,,,,1 Benua Raya,,
63.01.05.2002,,,,,,2 Bati-Bati,,
63.01.05.2003,,,,,,3 Ujung,,
63.01.05.2004,,,,,,4 Liang Anggang,,
63.01.05.2005,,,,,,5 Bentok Kampung,,
63.01.05.2006,,,,,,6 Bentok Darat,,
63.01.05.2007,,,,,,7 Banyu Irang,,
63.01.05.2008,,,,,,8 Nusa Indah,,
63.01.05.2009,,,,,,9 Pandahan,,
63.01.05.2010,,,,,,10 Padang,,
63.01.05.2011,,,,,,11 Ujung Baru,,
63.01.05.2012,,,,,,12 Sambangan,,
63.01.05.2013,,,,,,13 Kait-kait,,
63.01.05.2014,,,,,,14 Kait-kait Baru,,
63.01.06,,,,6Panyipatan,-,10,,
63.01.06.2001,,,,,,1 Batu Tungku,,
63.01.06.2002,,,,,,2 Panyipatan,,
63.01.06.2003,,,,,,3 Kandangan Baru,,
63.01.06.2004,,,,,,4 Kandangan Lama,,
63.01.06.2005,,,,,,5 Batakan,,
63.01.06.2006,,,,,,6 Kuringkit,,
63.01.06.2007,,,,,,7 Tanjung Dewa,,
63.01.06.2008,,,,,,8 Suka Ramah,,
63.01.06.2009,,,,,,9 Batu Mulya,,
63.01.06.2010,,,,,,10 Bumi Asih,,
63.01.07,,,,7Kintap,-,14,,
63.01.07.2001,,,,,,1 Pandan Sari,,
63.01.07.2002,,,,,,2 Kintap,,
,,,,,,,,
