K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.02.07.2006,,,,,,6 Kite Merangun,,
11.02.07.2007,,,,,,7 Mamas,,
11.02.07.2008,,,,,,8 Tanjung Lama,,
11.02.07.2009,,,,,,9 Tanjung Muda,,
11.02.07.2010,,,,,,10 Rambung Teldak,,
11.02.07.2011,,,,,,11 Tanjung Aman,,
11.02.07.2012,,,,,,12 Sri Muda,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.07.2013,,,,,,13 Ujung Baru,,
11.02.07.2014,,,,,,14 Kute Rambe,,
11.02.07.2015,,,,,,15 Mamas Baru,,
11.02.07.2016,,,,,,16 Rambung Jaya,,
11.02.07.2017,,,,,,17 Makmur Jaya,,
11.02.07.2018,,,,,,18 Darul Makmur,,
11.02.07.2019,,,,,,19 Tanjung Bakhu,,"Qanun No. 35/2006, Perbaikan nama sesuai Validasi Data Nama dan
Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.02.07.2020,,,,,,20 Pulo Gabung,,"Qanun No. 35/2006, Perbaikan nama sesuai Validasi Data Nama dan
Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.02.07.2021,,,,,,21 Kokhtan Jaya,,"Qanun No. 35/2006, Perbaikan nama sesuai Validasi Data Nama dan
Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.02.07.2022,,,,,,22 Istiqamah,,"Qanun No. 35/2006, Perbaikan nama sesuai Validasi Data Nama dan
Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.02.07.2023,,,,,,23 Lawe Mamas Indah,,Qanun No. 35/2006
11.02.07.2024,,,,,,24 Tanjung Leuser,,Qanun No. 35/2006
11.02.07.2025,,,,,,25 Simpang IV Tanjung,,"Qanun No. 35/2006, Perbaikan nama sesuai Validasi Data Nama dan
Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.02.07.2026,,,,,,26 Lawe Pinis,,Qanun No. 35/2006
11.02.07.2027,,,,,,27 Buntul Kendawi,,Qanun No. 35/2006
11.02.07.2028,,,,,,28 Kuning Abadi,,Qanun No. 35/2006
11.02.08,,,,8Lawe Bulan,-,24,,
11.02.08.2001,,,,,,1 Pasir Gala,,
11.02.08.2002,,,,,,2 Pasir Penjengakan,,
11.02.08.2003,,,,,,3 Kutambaru,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.08.2004,,,,,,4 Lawe Sagu Hulu,,
11.02.08.2005,,,,,,5 Lawe Sagu Hilir,,
11.02.08.2006,,,,,,6 Kute Bantil,,
,,,,,,,,
