K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
33,JAWA TENGAH,,,,,,,
33.20,KAB. JEPARA,,,16,11,184,"1.020,246","Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
33.20.01,,,,1Kedung,-,18,,
33.20.01.2001,,,,,,1 Kedungmalang,,Surat Sekda Kab. Jepara No 140/0945 tgl 16 Februari 2016
33.20.01.2002,,,,,,2 Kalianyar,,
33.20.01.2003,,,,,,3 Karangaji,,
33.20.01.2004,,,,,,4 Tedunan,,
33.20.01.2005,,,,,,5 Sowan Lor,,
33.20.01.2006,,,,,,6 Sowan Kidul,,
33.20.01.2007,,,,,,7 Wanusobo,,
33.20.01.2008,,,,,,8 Surodadi,,
33.20.01.2009,,,,,,9 Panggung,,
33.20.01.2010,,,,,,10 Bulak Baru,,
33.20.01.2011,,,,,,11 Jondang,,
33.20.01.2012,,,,,,12 Bugel,,
33.20.01.2013,,,,,,13 Dongos,,
33.20.01.2014,,,,,,14 Menganti,,
33.20.01.2015,,,,,,15 Kerso,,
33.20.01.2016,,,,,,16 Tanggul Tlare,,
33.20.01.2017,,,,,,17 Rau,,
33.20.01.2018,,,,,,18 Sukosono,,
33.20.02,,,,2Pecangaan,-,12,,
33.20.02.2001,,,,,,1 Kaliombo,,
33.20.02.2002,,,,,,2 Karangrandu,,
33.20.02.2003,,,,,,3 Gerdu,,
33.20.02.2004,,,,,,4 Pecangaan Kulon,,
33.20.02.2005,,,,,,5 Rengging,,
33.20.02.2006,,,,,,6 Troso,,
33.20.02.2007,,,,,,7 Ngeling,,
33.20.02.2008,,,,,,8 Pulodarat,,
33.20.02.2009,,,,,,9 Lebuawu,,
33.20.02.2010,,,,,,10 Gemulung,,
33.20.02.2011,,,,,,11 Pecangaan Wetan,,
33.20.02.2012,,,,,,12 Krasak,,
33.20.03,,,,3Welahan,-,15,,
33.20.03.2001,,,,,,1 Ujung Pandan,,
33.20.03.2002,,,,,,2 Karanganyar,,
,,,,,,,,
