Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
72.07.40219,Pulau Mbumbu,,"01°19'09.99"" S 123°11'40.99"" T",TBP
72.07.40220,Pulau Melea,,"01°37'09.09"" S 123°11'55.24"" T",
72.07.40222,Pulau Mobua,,"01°32'15.79"" S 122°47'02.87"" T",TBP
72.07.40225,Pulau Monganusan,,"01°20'42.32"" S 123°12'46.51"" T",
72.07.40226,Pulau Mongisongpaku,,"01°21'01.64"" S 123°12'49.13"" T",
72.07.40228,Pulau Monsolonian Babasal,,"01°36'17.31"" S 123°05'59.41"" T",TBP
72.07.40229,Pulau Monsolonian Pauno,,"01°36'12.06"" S 123°06'01.71"" T",TBP
72.07.40230,Pulau Motilmomeng,,"01°27'06.00"" S 123°15'36.00"" T",TBP
72.07.40233,Pulau Ndamai,,"01°25'44.44"" S 123°09'52.53"" T",
72.07.40234,Pulau Ndolu,,"01°24'00.52"" S 123°32'28.29"" T",
72.07.40235,Pulau Nggalubit Babasal,,"01°34'03.10"" S 123°14'25.40"" T",
72.07.40236,Pulau Nggalubit Popoisik,,"01°33'34.15"" S 123°14'24.91"" T",
72.07.40237,Pulau Nggilas,,"01°27'16.61"" S 123°15'49.65"" T",TBP
72.07.40238,Pulau Ngguluhan Batu,,"01°29'12.61"" S 122°46'26.80"" T",TBP
72.07.40239,Pulau Nggulukan Batu,,"01°19'16.50"" S 122°48'46.39"" T",
72.07.40240,Pulau Nggulukan Batu Pauno,,"01°29'34.68"" S 122°46'38.69"" T",
72.07.40241,Pulau Nomula,,"01°19'45.21"" S 123°12'50.05"" T",TBP
72.07.40242,Pulau Nondalibuango,,"01°30'07.34"" S 123°21'14.09"" T",
72.07.40243,Pulau Noulas,,"01°31'31.81"" S 122°47'19.02"" T",TBP
72.07.40244,Pulau Olongonabonua,,"01°31'13.94"" S 122°47'08.41"" T",
72.07.40245,Pulau Olundua,,"01°29'11.00"" S 122°48'24.99"" T",TBP
72.07.40247,Pulau Palupalu,,"01°25'25.00"" S 123°17'11.00"" T",TBP
72.07.40248,Pulau Palupalu Timur Doibundu,,"01°25'28.41"" S 123°17'54.61"" T",
72.07.40249,Pulau Palupalu Timur Tangatanga,,"01°25'19.70"" S 123°17'52.04"" T",
72.07.40250,Pulau Palupalubarat Doibundu,,"01°25'33.59"" S 123°17'22.54"" T",TBP
72.07.40251,Pulau Palupalubarat Tangatanga,,"01°25'23.00"" S 123°17'17.00"" T",TBP
72.07.40252,Pulau Pangais,,"01°19'52.00"" S 123°12'27.00"" T",TBP
72.07.40254,Pulau Panggul,,"01°37'27.12"" S 123°11'01.15"" T",
72.07.40257,Pulau Patolang,,"01°18'34.99"" S 123°13'14.00"" T",TBP
72.07.40259,Pulau Peling,,"01°34'50.99"" S 123°10'22.00"" T",BP
72.07.40260,Pulau Pentu,,"01°33'13.66"" S 123°14'36.32"" T",
72.07.40261,Pulau Peposo,,"01°30'36.00"" S 122°47'02.00"" T",TBP
72.07.40262,Pulau Pingono,,"01°22'56.21"" S 123°03'56.66"" T",
72.07.40263,Pulau Pintasan Togong,,"01°33'59.63"" S 123°06'26.41"" T",
72.07.40265,Pulau Ponga Tanga,,"01°23'50.30"" S 123°09'33.69"" T",
72.07.40266,Pulau Ponga Utara,,"01°23'49.90"" S 123°09'32.98"" T",
72.07.40268,Pulau Poposan,,"01°29'16.48"" S 122°48'12.25"" T",TBP
72.07.40271,Pulau Potil Meng,,"01°28'19.09"" S 123°15'34.11"" T",
72.07.40273,Pulau Sabalande,,"01°29'35.30"" S 122°47'28.29"" T",TBP
72.07.40274,Pulau Sabangemo,,"01°25'10.70"" S 123°02'27.55"" T",
