K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12,SUMATERA UTARA,,,,,,,
12.24,KAB. NIAS UTARA,,,11,1,112,"1.238,055","UU NO. 45/2008.
Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
12.24.01,,,,1Lotu,-,13,,Semula wil. Kab. Nias
12.24.01.2001,,,,,,1 Hilidundra,,
12.24.01.2002,,,,,,2 Lawira Satua,,
12.24.01.2003,,,,,,3 Fadoro Fulolo,,"Perbaikan nama sesuai BA No. 2826.a/BP/2017 Rapat Penyusunan
dan Validasi Data Wilayah tgl 30 Okt s/d 1 Nov 2017"
12.24.01.2004,,,,,,4 Lawira I,,
12.24.01.2005,,,,,,5 Hiligodu,,
12.24.01.2006,,,,,,6 Lombuza'ua,,"Perbaikan nama sesuai BA No. 2826.a/BP/2017 Rapat Penyusunan
dan Validasi Data Wilayah tgl 30 Okt s/d 1 Nov 2017"
12.24.01.2007,,,,,,7 Maziaya,,
12.24.01.2008,,,,,,8 Baho,,
12.24.01.2009,,,,,,9 Lolofaoso,,
12.24.01.2010,,,,,,10 Lawira II,,
12.24.01.2011,,,,,,11 Dahadano,,"Perbaikan nama sesuai BA No. 2826.a/BP/2017 Rapat Penyusunan
dan Validasi Data Wilayah tgl 30 Okt s/d 1 Nov 2017"
12.24.01.2012,,,,,,12 Lolomboli,,
12.24.01.2013,,,,,,13 Hiligeo Afia,,
12.24.02,,,,2Sawo,-,10,,Semula wil. Kab. Nias
12.24.02.2001,,,,,,1 Seriwa'u,,
12.24.02.2002,,,,,,2 Ombolata Sawo,,
12.24.02.2003,,,,,,3 Sanawuyu,,
12.24.02.2004,,,,,,4 Onozitoli Sawo,,
12.24.02.2005,,,,,,5 Sifahandro,,
12.24.02.2006,,,,,,"6 Sisarahili Teluk
Siabang",,"Perbaikan nama sesuai BA No. 2826.a/BP/2017 Rapat Penyusunan
dan Validasi Data Wilayah tgl 30 Okt s/d 1 Nov 2017"
12.24.02.2007,,,,,,7 Lasara Sawo,,"Perbaikan nama sesuai BA No. 2826.a/BP/2017 Rapat Penyusunan
dan Validasi Data Wilayah tgl 30 Okt s/d 1 Nov 2017"
12.24.02.2008,,,,,,8 Sawo,,
12.24.02.2009,,,,,,9 Hiliduruwa,,
12.24.02.2010,,,,,,10 Teluk Bengkuang,,
12.24.03,,,,3Tuhemberua,-,8,,Semula wil. Kab. Nias
12.24.03.2001,,,,,,1 Botolakha,,
12.24.03.2002,,,,,,2 Siofa Banua,,
12.24.03.2003,,,,,,3 La'aya,,
12.24.03.2004,,,,,,4 Alo'oa,,
12.24.03.2005,,,,,,5 Ladara,,
,,,,,,,,
