K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
32,JAWA BARAT,,,,,,,
32.09,KAB. CIREBON,,,40,12,412,"1.076,759","Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
32.09.01,,,,1Waled,-,12,,
,,,,,,Tonjong,,"Menjadi wil. Kec. Pasaleman, Perda No. 8/2004"
,,,,,,Tanjunganom,,"Menjadi wil. Kec. Pasaleman, Perda No. 8/2004"
,,,,,,Cilengkrang Girang,,"Menjadi wil. Kec. Pasaleman, Perda No. 8/2004"
,,,,,,Cilengkrang,,"Menjadi wil. Kec. Pasaleman, Perda No. 8/2004"
,,,,,,Pasaleman,,"Menjadi wil. Kec. Pasaleman, Perda No. 8/2004"
,,,,,,Cigobang Wangi,,"Menjadi wil. Kec. Pasaleman, Perda No. 8/2004"
,,,,,,Cigobang,,"Menjadi wil. Kec. Pasaleman, Perda No. 8/2004"
32.09.01.2008,,,,,,1 Waled Desa,,
32.09.01.2009,,,,,,2 Waled Kota,,
32.09.01.2010,,,,,,3 Mekarsari,,
32.09.01.2011,,,,,,4 Waled Asem,,
32.09.01.2012,,,,,,5 Ambit,,
32.09.01.2013,,,,,,6 Ciuyah,,
32.09.01.2014,,,,,,7 Gunungsari,,
32.09.01.2015,,,,,,8 Karangsari,,
32.09.01.2016,,,,,,9 Cikulak Kidul,,
32.09.01.2017,,,,,,10 Cikulak,,
32.09.01.2018,,,,,,11 Cibogo,,
32.09.01.2019,,,,,,12 Cisaat,,
32.09.02,,,,2Ciledug,-,10,,
,,,,,,Sukadana,,"Menjadi wil. Kec. Pabuaran, Perda No. 8/2004"
,,,,,,Pabuaran Kidul,,"Menjadi wil. Kec. Pabuaran, Perda No. 8/2004"
,,,,,,Pabuaran Wetan,,"Menjadi wil. Kec. Pabuaran, Perda No. 8/2004"
,,,,,,Pabuaran Lor,,"Menjadi wil. Kec. Pabuaran, Perda No. 8/2004"
,,,,,,Jatirenggang,,"Menjadi wil. Kec. Pabuaran, Perda No. 8/2004"
,,,,,,Hulubanteng,,"Menjadi wil. Kec. Pabuaran, Perda No. 8/2004"
,,,,,,Hulubanteng Lor,,"Menjadi wil. Kec. Pabuaran, Perda No. 8/2004"
32.09.02.2008,,,,,,1 Leuweunggajah,,
32.09.02.2009,,,,,,2 Tenjomaya,,
32.09.02.2010,,,,,,3 Damarguna,,
32.09.02.2011,,,,,,4 Jatiseeng,,
32.09.02.2012,,,,,,5 Jatiseeng Kidul,,
32.09.02.2013,,,,,,6 Ciledug Kulon,,
32.09.02.2014,,,,,,7 Ciledug Wetan,,
,,,,,,,,
