K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
14.08.08.2001,,,,,,1 Bunga Raya,,"Perbaikan nama sesuai Rakernis Klarifikasi Data Nama Serta
Kodefikasi, Perbaikan nama sesuai Validasi Ditjen BPD tgl 23 Juni
2016, Perbaikan nama hasil validasi data nama desa tgl 28 April 2017
dan rekomendasi Ditjen BPD No.146/3672/BPD tgl 21 Juni 2017"
14.08.08.2002,,,,,,2 Jati Baru,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.08.2003,,,,,,3 Jayapura,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016"
,,,,,,Sungai Berbari,,"Menjadi wil. Kec. Pusako, Perda No. 8/2007"
,,,,,,Dosan,,"Menjadi wil. Kec. Pusako, Perda No. 8/2007"
,,,,,,Sungai Limau,,"Menjadi wil. Kec. Pusako, Perda No. 8/2007"
,,,,,,Dusun Pusaka,,"Menjadi wil. Kec. Pusako, Perda No. 8/2007"
,,,,,,Perbadaran,,"Menjadi wil. Kec. Pusako, Perda No. 8/2007"
,,,,,,Benayah,,"Menjadi wil. Kec. Pusako, Perda No. 8/2007"
,,,,,,Perincit,,"Menjadi wil. Kec. Pusako, Perda No. 8/2007"
14.08.08.2011,,,,,,4 Kemuning Muda,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.08.2012,,,,,,5 Buatan Lestari,,"Perbaikan nama hasil Rakernis Klarifikasi Data Nama Serta Kodefikasi,
Perbaikan nama sesuai Validasi Ditjen BPD tgl 23 Juni 2016, Perbaikan
nama hasil validasi data nama desa tgl 28 April 2017 dan rekomendasi
Ditjen BPD No.146/3672/BPD tgl 21 Juni 2017"
14.08.08.2013,,,,,,6 Tuah Indrapura,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.08.2014,,,,,,7 Langsat Permai,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.08.2015,,,,,,8 Temusai,,Pemekaran desa Perda No. 5/2009
14.08.08.2016,,,,,,9 Dayang Suri,,"Pemekaran desa Perda No.5/2009, Perbaikan nama sesuai Validasi
Ditjen BPD tgl 23 Juni 2016, Perbaikan nama hasil validasi data nama
desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.08.2017,,,,,,10 Suak Merambai,,"Pemekaran desa Perda No.5/2009, Perbaikan nama sesuai Validasi
Ditjen BPD tgl 23 Juni 2016, Perbaikan nama hasil validasi data nama
desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.09,,,,9Koto Gasib,-,11,,
14.08.09.2001,,,,,,1 Pangkalan Pisang,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
,,,,,,,,
