K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
34,DAERAH ISTIMEWA YOGYAKARTA,,,,,,,
34.01,KAB. KULON PROGO,,,12,1,87,"577,224","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
34.01.01,,,,1Temon,-,15,,
34.01.01.2001,,,,,,1 Jangkaran,,
34.01.01.2002,,,,,,2 Sindutan,,
34.01.01.2003,,,,,,3 Palihan,,
34.01.01.2004,,,,,,4 Glagah,,
34.01.01.2005,,,,,,5 Kalidengen,,
34.01.01.2006,,,,,,6 Plumbon,,
34.01.01.2007,,,,,,7 Kedundang,,
34.01.01.2008,,,,,,8 Demen,,
34.01.01.2009,,,,,,9 Kulur,,
34.01.01.2010,,,,,,10 Kaligintung,,
34.01.01.2011,,,,,,11 Temon Wetan,,
34.01.01.2012,,,,,,12 Temon Kulon,,
34.01.01.2013,,,,,,13 Kebonrejo,,
34.01.01.2014,,,,,,14 Janten,,
34.01.01.2015,,,,,,15 Karangwuluh,,
34.01.02,,,,2Wates,1,7,,
34.01.02.2001,,,,,,1 Karangwuni,,
34.01.02.2002,,,,,,2 Sogan,,
34.01.02.2003,,,,,,3 Kulwaru,,
34.01.02.2004,,,,,,4 Ngestiharjo,,
34.01.02.2005,,,,,,5 Bendungan,,
34.01.02.2006,,,,,,6 Triharjo,,
34.01.02.2007,,,,,,7 Giripeni,,
34.01.02.1008,,,,,1Wates,,,Peningkatan status Kelurahan Perda No. 9/2009
34.01.03,,,,3Panjatan,-,11,,
34.01.03.2001,,,,,,1 Garongan,,
34.01.03.2002,,,,,,2 Pleret,,
34.01.03.2003,,,,,,3 Bugel,,
34.01.03.2004,,,,,,4 Kanoman,,
34.01.03.2005,,,,,,5 Depok,,
34.01.03.2006,,,,,,6 Bojong,,
34.01.03.2007,,,,,,7 Tayuban,,
34.01.03.2008,,,,,,8 Gotakan,,
34.01.03.2009,,,,,,9 Panjatan,,
,,,,,,,,
