Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
81.03.40150,Pulau Nustual Kecil,,"07°14'19.86"" S 131°22'18.21"" T",
81.03.40151,Pulau Nutkaltur,,"06°39'24.99"" S 131°35'30.99"" T",BP
81.03.40152,Pulau O Nyarar,,"08°03'55.40"" S 131°16'36.59"" T",
81.03.40153,Pulau O Nyarar Barat,,"08°03'49.07"" S 131°16'27.28"" T",
81.03.40154,Pulau O Nyarar Utara,,"08°03'51.09"" S 131°16'39.90"" T",
81.03.40155,Pulau Oaretal,,"07°44'03.90"" S 131°04'50.90"" T",
81.03.40156,Pulau Omaniahu,,"06°43'27.01"" S 131°35'59.19"" T",
81.03.40157,Pulau Pasir Panjang Dua,,"07°04'06.10"" S 131°25'55.72"" T",TBP
81.03.40158,Pulau Pasir Panjang Empat,,"07°04'09.22"" S 131°25'59.98"" T",TBP
81.03.40159,Pulau Pasir Panjang Satu,,"07°04'07.28"" S 131°25'56.44"" T",TBP
81.03.40160,Pulau Pasir Panjang Tiga,,"07°04'09.82"" S 131°25'59.74"" T",TBP
81.03.40161,Pulau Pepaya Besar,,"07°04'29.77"" S 131°25'43.91"" T",TBP
81.03.40162,Pulau Pepaya Kecil,,"07°04'26.60"" S 131°25'40.70"" T",TBP
81.03.40163,Pulau Rantusan,,"07°41'30.30"" S 131°06'40.20"" T",
81.03.40164,Pulau Rataleman,,"07°47'42.97"" S 131°07'57.81"" T",
81.03.40165,Pulau Rawrawi,,"06°58'56.42"" S 131°35'31.87"" T",TBP
81.03.40166,Pulau Remnuang,,"07°10'52.39"" S 131°43'23.90"" T",
81.03.40167,Pulau Sabal,,"07°32'03.47"" S 130°58'53.30"" T",BP
81.03.40168,Pulau Seira,,"07°40'45.00"" S 131°02'26.99"" T",BP
81.03.40169,Pulau Selaru,,"08°11'02.00"" S 130°57'42.99"" T",BP-PPKT
81.03.40170,Pulau Selu,,"07°32'24.09"" S 130°55'07.45"" T",BP
81.03.40171,Pulau Sif Landyoor Du,,"07°39'00.50"" S 131°37'19.04"" T",TBP
81.03.40172,Pulau Sif Landyoor Sa,,"07°39'00.78"" S 131°37'18.98"" T",TBP
81.03.40173,Pulau Sif Landyoor Tel,,"07°39'00.25"" S 131°37'19.20"" T",TBP
81.03.40174,Pulau Sife Ain,,"08°02'05.60"" S 131°17'40.09"" T",
81.03.40175,Pulau Sife Ain Anak,,"08°02'08.80"" S 131°17'38.78"" T",TBP
81.03.40176,Pulau Sife Ain Da,,"08°02'01.40"" S 131°17'37.51"" T",TBP
81.03.40177,Pulau Sife Ain Dol,,"08°02'03.30"" S 131°17'37.46"" T",TBP
81.03.40178,Pulau Sifetubun,,"08°03'45.26"" S 131°16'48.79"" T",
81.03.40179,Pulau Somarwain Atakanak,,"08°02'19.70"" S 131°17'42.43"" T",TBP
81.03.40180,Pulau Somarwain Silai,,"08°02'21.99"" S 131°17'43.21"" T",TBP
81.03.40181,Pulau Somarwaintubun,,"08°02'21.59"" S 131°17'44.30"" T",
81.03.40182,Pulau Somarwaintubun Utara,,"08°02'20.60"" S 131°17'43.80"" T",
81.03.40183,Pulau Sukler,,"07°38'34.00"" S 130°56'52.00"" T",BP
81.03.40184,Pulau Talikbibi Kecil,,"07°19'35.01"" S 131°13'45.98"" T",TBP
81.03.40185,Pulau Tandula,,"07°45'03.89"" S 131°04'49.00"" T",
81.03.40186,Pulau Tanjung Pasirlauran,,"07°22'05.86"" S 131°13'08.69"" T",TBP
81.03.40187,Pulau Tanjung Urangar Dua,,"07°04'05.85"" S 131°25'52.81"" T",TBP
81.03.40188,Pulau Tanjung Urangar Satu,,"07°04'05.89"" S 131°25'52.29"" T",TBP
81.03.40189,Pulau Tatunwatyoki,,"06°43'50.80"" S 131°35'48.30"" T",
