K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
82.04.18.2001,,,,,,1 Sawangakar,,"Semula wil. Kec. Bacan. Surat Kepala Badan Pemberdayaan dan
Otonomi Desa, No. 160/62/BPM-0TDES/2014 Koreksi nama desa"
82.04.18.2002,,,,,,2 Bajo,,Semula wil. Kec. Bacan
82.04.18.2003,,,,,,3 Tanjung Obit,,"Semula wil. Kec. Bacan. Surat Kepala Badan Pemberdayaan dan
Otonomi Desa, No. 160/62/BPM-0TDES/2014 Koreksi nama desa"
82.04.18.2004,,,,,,4 Prapakanda,,Semula wil. Kec. Bacan
82.04.18.2005,,,,,,5 Toin,,Semula wil. Kec. Bacan
82.04.18.2006,,,,,,6 Kampung Baru,,Semula wil. Kec. Bacan
82.04.18.2007,,,,,,7 Batutaga,,Semula wil. Kec. Bacan
82.04.18.2008,,,,,,8 Paisumbaos,,Semula wil. Kec. Bacang
82.04.19,,,,19Mandioli Selatan,-,6,,Perda No. 8/2007
82.04.19.2001,,,,,,1 Lele,,Semula wil. Kec. Bacan
82.04.19.2002,,,,,,2 Bahu,,Semula wil. Kec. Bacan
82.04.19.2003,,,,,,3 Jiko,,Semula wil. Kec. Bacan
82.04.19.2004,,,,,,4 Galala,,Semula wil. Kec. Bacan
82.04.19.2005,,,,,,5 Tabalema,,Semula wil. Kec. Bacan Barat
82.04.19.2006,,,,,,6 Yoyok,,Semula wil. Kec. Bacan Barat
82.04.20,,,,20Mandioli Utara,-,6,,Perda No. 8/2007
82.04.20.2001,,,,,,1 Pelita,,Semula wil. Kec. Bacan
82.04.20.2002,,,,,,2 Indong,,Semula wil. Kec. Bacan
82.04.20.2003,,,,,,3 Waya,,Semula wil. Kec. Bacan
82.04.20.2004,,,,,,4 Leleongusu,,Semula wil. Kec. Bacan
82.04.20.2005,,,,,,5 Akedabo,,Semula wil. Kec. Bacan
82.04.20.2006,,,,,,6 Bobo,,Semula wil. Kec. Bacan
82.04.21,,,,21Bacan Timur Selatan,-,7,,Perda No. 8/2007
82.04.21.2001,,,,,,1 Wayaua,,"Semula wil. Kec. Bacan Timur. Surat Kepala Badan Pemberdayaan
dan Otonomi Desa, No. 160/62/BPM-0TDES/2014 Koreksi nama desa"
82.04.21.2002,,,,,,2 Silang,,Semula wil. Kec. Bacan Timur
82.04.21.2003,,,,,,3 Liaro,,Semula wil. Kec. Bacan Timur
82.04.21.2004,,,,,,4 Pigaraja,,Semula wil. Kec. Bacan Timur
82.04.21.2005,,,,,,5 Wayakuba,,Semula wil. Kec. Bacan Timur
82.04.21.2006,,,,,,6 Tabangame,,Semula wil. Kec. Bacan Timur
82.04.21.2007,,,,,,7 Tabajaya,,Semula wil. Kec. Bacan Timur
82.04.22,,,,22Bacan Timur Tengah,-,7,,Perda No. 8/2007
82.04.22.2001,,,,,,1 Wayatim,,Semula wil. Kec. Bacan Timur
82.04.22.2002,,,,,,2 Tomara,,Semula wil. Kec. Bacan Timur
82.04.22.2003,,,,,,3 Tutupa,,Semula wil. Kec. Bacan Timur
82.04.22.2004,,,,,,4 Tabapoma,,Semula wil. Kec. Bacan Timur
82.04.22.2005,,,,,,5 Bibinoi,,Semula wil. Kec. Bacan Timur
82.04.22.2006,,,,,,6 Songa,,Semula wil. Kec. Bacan Timur
82.04.22.2007,,,,,,7 Tawa,,Semula wil. Kec. Bacan Timur
,,,,,,,,
