K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
73.18.29.2008,,,,,,4 Bo'ne Buntu Sisong,,"Perda No. 5/2005, Perbaikan nama desa sesuai Surat Pemkab No.
410/03/BPMPL/IV/2016 tgl 13 April 2016 perihal data nama dan kode
desa"
,,,,Ke'su,,,,"Menjadi wil. Kab. Toraja Utara, UU. No. 28/2008"
,,,,,,Tallulolo,,
,,,,,,Rinding Batu,,
,,,,,Ba'tan,,,
,,,,,,Pantanakan Lolo,,
,,,,,,Angin-angin,,
,,,,,,Sangubua,,
,,,,,,Tadongkon,,
73.18.31,,,,14Masanda,-,8,,Perda No.8/2004
73.18.31.2001,,,,,,1 Ratte,,Semula wil. Kec. Bittuang
73.18.31.2002,,,,,,2 Paliorong,,Perda No. 5/2005
73.18.31.2003,,,,,,3 Kadundung,,Perda No. 5/2005
73.18.31.2004,,,,,,4 Pondingao',,"Semula wil. Kec. Bittuang, Perbaikan nama desa sesuai Surat Pemkab
No. 410/03/BPMPL/IV/2016 tgl 13 April 2016 perihal data nama dan
kode desa"
73.18.31.2005,,,,,,5 Belau,,Semula wil. Kec. Bittuang
73.18.31.2006,,,,,,6 Belau Utara,,Semula wil. Kec. Bittuang
73.18.31.2007,,,,,,7 Paku,,Perda No. 5/2005
73.18.31.2008,,,,,,8 Sesesalu,,"Perda No. 5/2005, Perbaikan nama desa sesuai Surat Pemkab No.
410/03/BPMPL/IV/2016 tgl 13 April 2016 perihal data nama dan kode
desa"
,,,,Bangkelekila,,,,"Menjadi wil. Kab. Toraja Utara, UU. No. 28/2008"
,,,,,,Toyasa Akung,,Semula wil. Kec. Sesean
,,,,,,Batu Limbong,,Semula wil. Kec. Sesean
,,,,,,Bangkelekila,,Semula wil. Kec. Sesean
,,,,,,Tampan Bonga,,
73.18.33,,,,15Sangalla Selatan,1,4,,Perda No.6/2005
73.18.33.2001,,,,,,1 Batualu,,Semula wil. Kec. Sanggalla
73.18.33.2002,,,,,,2 Tokesan,,Semula wil. Kec. Sanggalla
73.18.33.2003,,,,,,3 Batualu Selatan,,Perda No. 5/2005
73.18.33.2004,,,,,,4 Raru Sibunuan,,"Perda No. 5/2005, Perbaikan nama desa sesuai Surat Pemkab No.
410/03/BPMPL/IV/2016 tgl 13 April 2016 perihal data nama dan kode
desa"
73.18.33.1005,,,,,1Rante Alang,,,Perda No. 5/2005
73.18.34,,,,16Sangalla Utara,2,4,,Perda No.6/2005
73.18.34.1001,,,,,1Leatung,,,Perda No. 6/2005
73.18.34.2002,,,,,,1 Rantela'bi Kambisa,,"Perda No. 6/2005, Perbaikan nama desa sesuai Surat Pemkab No.
410/03/BPMPL/IV/2016 tgl 13 April 2016 perihal data nama dan kode
desa"
,,,,,,,,
