K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
13,SUMATERA BARAT,,,,,,,
13.09,KAB. KEPULAUAN MENTAWAI,,,10,0,43,"5.983,222","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022 (tidak
ada batas darat dengan kab/kota lainnya)"
13.09.01,,,,1Pagai Utara,-,3,,
,,,,,,Sinaka,,Menjadi wil. Kec. Pagai Selatan
,,,,,,Bulasat,,Menjadi wil. Kec. Pagai Selatan
,,,,,,Malakopak,,Menjadi wil. Kec. Pagai Selatan
,,,,,,Sikakap,,Menjadi wil. Kec Sikakap
,,,,,,Makalo,,Menjadi wil. Kec. Pagai Selatan
,,,,,,Taikako,,Menjadi wil. Kec Sikakap
13.09.01.2007,,,,,,1 Betumonga,,
13.09.01.2008,,,,,,2 Silabu,,
13.09.01.2009,,,,,,3 Saumanganya,,Lampiran Peraturan Bupati Kep. Mentawai No.14 Tahun 2013
,,,,,,Matobe,,Menjadi wil. Kec Sikakap
13.09.02,,,,2Sipora Selatan,-,7,,
13.09.02.2001,,,,,,1 Bosua,,
13.09.02.2002,,,,,,2 Beriulou,,
13.09.02.2003,,,,,,3 Nemnemleleu,,Lampiran Peraturan Bupati Kep. Mentawai No.14 Tahun 2013
13.09.02.2004,,,,,,4 Mara,,
,,,,,,Beutomonga,,Menjadi wil. Kec Sipora Utara
13.09.02.2006,,,,,,5 Sioban,,
13.09.02.2007,,,,,,6 Matobe,,
13.09.02.2008,,,,,,7 Saureinu,,
,,,,,,Goissoinan,,Menjadi wil. Kec Sipora Utara
,,,,,,Tua Pejat,,Menjadi wil. Kec Sipora Utara
,,,,,,Sidomakmur,,Menjadi wil. Kec Sipora Utara
13.09.03,,,,3Siberut Selatan,-,5,,
,,,,,,Katurai,,Menjadi wil. Kec. Siberut Barat Daya
13.09.03.2002,,,,,,1 Muara Siberut,,
13.09.03.2003,,,,,,2 Maileppet,,
13.09.03.2004,,,,,,3 Muntei,,
13.09.03.2005,,,,,,4 Matotonan,,
,,,,,,Saliguma,,Menjadi wil. Kec. Siberut Tengah
13.09.03.2007,,,,,,5 Madobag,,
,,,,,,Taileleu,,Menjadi wil. Kec. Siberut Barat Daya
,,,,,,Sagalubek,,Menjadi wil. Kec. Siberut Barat Daya
,,,,,,Saibi Samukop,,Menjadi wil. Kec. Siberut Tengah
,,,,,,,,
