K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Tadakisa,,
,,,,,,Ngalombay,,
,,,,,,Rendutenoe,,Menjadi wil. Kec. Aesesa Selatan
,,,,,,Renduwawo,,Menjadi wil. Kec. Aesesa Selatan.
,,,,Wolowae,,,,Menjadi wil. Kab. Nagekeo UU No. 2 /2007
,,,,,,Tendatoto,,
,,,,,,Totomala,,
,,,,,,Tendakinde,,
,,,,,,Anakoli,,
,,,,,,Natatoto,,
53.09.12,,,,6Jerebuu,-,14,,
53.09.12.2001,,,,,,1 Watumanu,,
53.09.12.2002,,,,,,2 Tiworiwu,,
53.09.12.2003,,,,,,3 Dariwali,,
53.09.12.2004,,,,,,4 Naruwolo,,
53.09.12.2005,,,,,,5 Nenowea,,
,,,,,,Manubhara,,Menjadi wil Kec. Inerie Perda No. 2/2012
53.09.12.2007,,,,,,6 Naruwolo I,,"PMD, Perda No. 11/2007"
53.09.12.2008,,,,,,7 Naruwolo II,,"PMD, Perda No. 11/2007"
53.09.12.2009,,,,,,8 Dariwali I,,"PMD, Perda No. 2/2010"
53.09.12.2010,,,,,,9 Nio Lewa,,"PMD, Perda No. 6/2011"
53.09.12.2011,,,,,,10 Tiworiwu I,,"PMD, Perda No. 6/2011"
53.09.12.2012,,,,,,11 Tiworiwu II,,"PMD, Perda No. 6/2011"
,,,,,,Tiwurana,,Menjadi wil Kec. Inerie Perda No. 2/2012
,,,,,,Legeriwu,,Menjadi wil Kec. Inerie Perda No. 2/2012
53.09.12.2015,,,,,,12 Batajawa,,Pemekaran Desa Naruwolo Perda No 1/2012
53.09.12.2016,,,,,,13 Wongawea,,"Pemekaran dari Desa Nenowea ; Perda Kab. Ngada No 2 Tahun 2022
tentang Pembentukan Desa"
53.09.12.2017,,,,,,14 Bowaru,,"Pemekaran dari Desa Dariwali I ; Perda Kab. Ngada No 2 Tahun 2022
tentang Pembentukan Desa"
,,,,Keo Tengah,,,,Menjadi wil. Kab. Nagekeo UU No. 2 / 2007
,,,,,,Witurombua,,
,,,,,,Lewangera,,
,,,,,,Wajo,,
,,,,,,Kotowuji Timur,,
,,,,,,Kotowuji Barat,,
,,,,,,Mbaenuamuri,,
,,,,,,Uddiworowatu,,
,,,,,,Kotodirumalia,,
,,,,,,Pautola,,
,,,,,,,,
