Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
72.06.40073,Pulau Karantu,,"03°03'59.54"" S 122°22'23.60"" T",TBP
72.06.40074,Pulau Karidau,,"03°15'24.27"" S 122°22'38.59"" T",
72.06.40075,Pulau Kayangan,,"03°16'36.00"" S 122°23'48.00"" T",TBP
72.06.40076,Pulau Keebuaya,,"03°07'53.77"" S 122°36'52.96"" T",TBP
72.06.40079,Pulau Killa,,"03°16'35.76"" S 122°24'36.94"" T",
72.06.40080,Pulau Koikoila,,"03°28'58.09"" S 122°54'29.56"" T",TBP
72.06.40081,Pulau Kokoh,,"03°17'08.00"" S 122°23'17.99"" T",TBP
72.06.40082,Pulau Kokoh Baloba,,"03°15'52.88"" S 122°25'29.10"" T",
72.06.40083,Pulau Kokoh Besar,,"03°15'57.18"" S 122°24'58.68"" T",
72.06.40084,Pulau Kokoh Kecil,,"03°15'54.38"" S 122°25'05.56"" T",
72.06.40087,Pulau Kottajeng Besar,,"03°05'26.30"" S 122°31'55.80"" T",
72.06.40088,Pulau Kottajeng Kecil,,"03°05'24.10"" S 122°31'47.39"" T",
72.06.40091,Pulau Kulingkima,,"03°15'27.82"" S 122°23'03.70"" T",TBP
72.06.40092,Pulau Kuso,,"03°05'37.00"" S 122°32'15.00"" T",TBP
72.06.40093,Pulau Kuta,,"03°16'11.84"" S 122°24'08.99"" T",TBP
72.06.40096,Pulau Lakatamba,,"03°05'14.66"" S 122°31'23.53"" T",TBP
72.06.40099,Pulau Lambeke,,"03°14'12.05"" S 122°20'32.42"" T",TBP
72.06.40102,Pulau Langala,,"02°48'53.78"" S 122°10'59.65"" T",
72.06.40103,Pulau Lembolaro,,"03°14'56.79"" S 122°19'26.83"" T",TBP
72.06.40104,Pulau Lemo,,"03°02'12.99"" S 122°22'22.00"" T",BP
72.06.40105,Pulau Lemo Kecil,,"03°14'44.73"" S 122°21'37.34"" T",
72.06.40106,Pulau Lemolemo,,"03°14'31.88"" S 122°25'57.73"" T",TBP
72.06.40107,Pulau Lera,,"03°14'03.68"" S 122°20'21.80"" T",TBP
72.06.40108,Pulau Lombokita,,"03°16'16.00"" S 122°25'14.99"" T",BP
72.06.40109,Pulau Lukotuo,,"03°16'26.97"" S 122°23'58.09"" T",TBP
72.06.40110,Pulau Lunasbalu,,"03°24'40.00"" S 122°56'12.99"" T",TBP
72.06.40112,Pulau Mahode,,"03°20'35.00"" S 122°23'33.00"" T",TBP
72.06.40113,Pulau Makita,,"03°16'33.87"" S 122°24'40.75"" T",TBP
72.06.40114,Pulau Makita Didikki,,"03°16'25.82"" S 122°24'55.88"" T",
72.06.40115,Pulau Makita Tingnga,,"03°16'36.40"" S 122°24'46.40"" T",
72.06.40116,Pulau Malena,,"03°16'27.56"" S 122°24'28.04"" T",TBP
72.06.40117,Pulau Malena,,"03°20'23.74"" S 122°23'37.82"" T",
72.06.40118,Pulau Mamano,,"03°08'04.80"" S 122°37'40.17"" T",TBP
72.06.40121,Pulau Marege,,"03°16'52.00"" S 122°26'04.99"" T",TBP
72.06.40122,Pulau Masadian,,"03°23'22.99"" S 122°36'45.00"" T",BP
72.06.40123,Pulau Mato,,"03°16'17.06"" S 122°23'48.77"" T",TBP
72.06.40124,Pulau Mbokkita Kecil,,"03°16'13.46"" S 122°25'12.18"" T",
72.06.40125,Pulau Mbosembah Kecil Barat,,"03°07'07.81"" S 122°35'22.08"" T",
72.06.40126,Pulau Mbosembah Kecil Timur,,"03°07'07.74"" S 122°35'23.21"" T",
72.06.40127,Pulau Menui,,"03°35'39.99"" S 123°06'43.99"" T",BP
