K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.07.24.2038,,,,,,38 Jumphoih Adan,,"Perbaikan nama sesuai Srt Pem Aceh No.146.1/10560 tgl 13 Juni 2016
Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh, Srt Ditjen BPD No.
145/1820/SET tgl 15 Nov 2018 hal penyampaian hasil validasi"
11.07.24.2039,,,,,,39 Mee Adan,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.07.24.2040,,,,,,40 Dayah Adan,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.07.24.2041,,,,,,41 Alue Adan,,
11.07.24.2042,,,,,,42 Rambot Adan,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.07.24.2043,,,,,,43 Meucat Adan,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.07.24.2044,,,,,,44 Tiba Mesjid,,
11.07.24.2045,,,,,,45 Tiba Raya,,
11.07.24.2046,,,,,,46 Reubat,,
11.07.24.2047,,,,,,47 Simbe,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.07.24.2048,,,,,,48 Jiem,,
11.07.25,,,,20Grong-grong,-,15,,
11.07.25.2001,,,,,,1 Gintong,,
11.07.25.2002,,,,,,2 Mesjid Beureuleung,,"Perbaikan nama sesuai Surat Pem Aceh No.146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa
tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.07.25.2003,,,,,,3 Beureuleung,,
11.07.25.2004,,,,,,4 Baroh,,
11.07.25.2005,,,,,,5 Mee,,"perbaikan nama Meunasah Mee menjadi Mee,surat Bupati Pidie No
140/2364 tgl 13 April 2021,Surat Sesditjen Bina Pemerintahan Desa No
145/2430/BPD tgl 24 Mei 2021"
11.07.25.2006,,,,,,6 Paya,,
11.07.25.2007,,,,,,7 Teungoh,,
11.07.25.2008,,,,,,8 Pangge Pilok,,
11.07.25.2009,,,,,,9 Karieng,,
11.07.25.2010,,,,,,10 Grong-Grong,,
11.07.25.2011,,,,,,11 Nicah,,
11.07.25.2012,,,,,,12 Mesjid Memeuaneuk,,"perbaikan nama Mesj. Memeuaneuk menjadi Mesjid Memeuaneuk,surat
Bupati Pidie No 140/2364 tgl 13 April 2021,Surat Sesditjen Bina
Pemerintahan Desa No 145/2430/BPD tgl 24 Mei 2021"
11.07.25.2013,,,,,,13 Daka,,
11.07.25.2014,,,,,,14 Sentosa,,
11.07.25.2015,,,,,,15 Sukon,,
,,,,Pante Raja,,,,"Menjadi wil. Kab. Pidie Jaya, UU No. 7 / 2007"
,,,,,,Keude,,
,,,,,,,,
