K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.08.04.2006,,,,,,6 Blang Rubek,,
11.08.04.2007,,,,,,7 Nga Matang Ubi,,
11.08.04.2008,,,,,,8 Meunasah Reudeup,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.08.04.2009,,,,,,9 Alue Buket,,
11.08.04.2010,,,,,,10 Meunye Matang Ubi,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.08.04.2011,,,,,,11 Trieng Matang Ubi,,
11.08.04.2012,,,,,,12 Ceubrek,,
11.08.04.2013,,,,,,13 Meunasah Blang,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.08.04.2014,,,,,,14 Buket Seuntang,,
11.08.04.2015,,,,,,"15 Meunasah Arongan
AB",,"Perbaikan nama sesuai Surat Pem Aceh No.146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa
tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.08.04.2016,,,,,,16 Trieng Pantang,,
11.08.04.2017,,,,,,"17 Meunasah Leubok
AB",,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.08.04.2018,,,,,,18 Cot Glumpang AB,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.08.04.2019,,,,,,19 Abeuk Leupon,,
11.08.04.2020,,,,,,20 Ara AB,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.08.04.2021,,,,,,21 Mancang,,
11.08.04.2022,,,,,,22 Matang Pupanji AB,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.08.04.2023,,,,,,23 Meunasah Asan AB,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.08.04.2024,,,,,,24 Matang Teungoh AB,,
11.08.04.2025,,,,,,25 Pante,,
11.08.04.2026,,,,,,26 Rambot,,
11.08.04.2027,,,,,,"27 Meunasah Alue Drien
LB",,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.08.04.2028,,,,,,28 Alue Mudem,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
,,,,,,,,
