NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,15.06.05,5 Merlung,,,,,1,9,,,
,15.06.06,6 Tebing Tinggi,,,,,1,9,,,Perda No. 8/2008
,15.06.07,7 Batang Asam,,,,,1,10,,,Perda No. 8/2008
,15.06.08,8 Renah Mendaluh,,,,,1,9,,,Perda No. 8/2008
,15.06.09,9 Muara Papalik,,,,,1,9,,,Perda No. 8/2008
,15.06.10,10 Seberang Kota,,,,,1,7,,,Perda No. 8/2008
,15.06.11,11 Bram Itam,,,,,1,9,,,Perda No. 8/2008
,15.06.12,12 Kuala Betara,,,,,1,9,,,Perda No. 8/2008
,15.06.13,13 Senyerang,,,,,1,9,,,Perda No. 8/2008
,15.07,"7 KAB. TANJUNG JABUNG
TIMUR",Muara Sabak,,,11,20,73,4.547,233.102,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,15.07.01,1 Muara Sabak Timur,,,,,2,10,,,"Perubahan nama Kec. Muara Sabak, Perda No.12/2004"
,15.07.02,2 Nipah Panjang,,,,,2,8,,,
,15.07.03,3 Mendahara,,,,,1,8,,,
,15.07.04,4 Rantau Rasau,,,,,1,10,,,
,15.07.05,5 S a d u,,,,,1,8,,,
,15.07.06,6 Dendang,,,,,1,6,,,
,15.07.07,7 Muara Sabak Barat,,,,,7,,,,Perda No. 12 / 2004
,15.07.08,8 Kuala Jambi,,,,,2,4,,,Perda No. 12 / 2004
,15.07.09,9 Mendahara Ulu,,,,,1,6,,,Perda No. 12 / 2004
,15.07.10,10 Geragai,,,,,1,8,,,Perda No. 12 / 2004
,15.07.11,11 Berbak,,,,,1,5,,,Perda No. 12 / 2004
,15.08,8 KAB. BUNGO,Muara Bungo,,,17,12,141,4.761,361.819,"Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,15.08.01,1 Tanah Tumbuh,,,,,,11,,,
,15.08.02,2 Rantau Pandan,,,,,,6,,,
,15.08.03,3 Pasar Muaro Bungo,,,,,5,,,,"Perubahan nama Kec. Muaro Bungo, Perda No. 9/2005"
,15.08.04,4 Jujuhan,,,,,,10,,,
,15.08.05,5 Tanah Sepenggal,,,,,,10,,,
,15.08.06,6 Pelepat,,,,,,15,,,
,15.08.07,7 Limbur Lubuk Mengkuang,,,,,,14,,,
,15.08.08,8 Muko-muko Bathin VII,,,,,,9,,,
,15.08.09,9 Pelepat Ilir,,,,,,17,,,
,15.08.10,10 Batin II Babeko,,,,,,6,,,Perda No.1 / 2003
,15.08.11,11 Bathin III,,,,,3,5,,,Perda No. 9 / 2005
