code,name
11.01.03.2013,Ujung Pasir
11.01.03.2014,Geulumbuk
11.01.03.2015,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.01.03.2016,Ujung Padang
11.01.03.2017,Indra Damai
11.01.04,"Perubahan nama Kec Labuhan Haji, sesuai Surat Gub. No. 140/5443
tgl 24 Maret 2020"
11.01.04.2001,Bakau Hulu
11.01.04.2002,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.04.2003,Manggis Harapan
11.01.04.2004,Pasar Lama
11.01.04.2005,Apha
11.01.04.2006,Ujung Batu
11.01.04.2007,Pawoh
11.01.04.2008,Dalam
11.01.04.2009,Kota Palak
11.01.04.2010,Cacang
11.01.04.2011,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.04.2012,Pisang
11.01.04.2013,Hulu Pisang
11.01.04.2014,Tengah Baru
11.01.04.2015,Lembah Baru
11.01.04.2016,Padang Baru
11.01.05,-
11.01.05.2001,Kuta Buloh II
11.01.05.2002,Kuta Buloh I
11.01.05.2003,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.05.2004,Drien Jalo
11.01.05.2005,Jambo Papeun
11.01.05.2006,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.05.2007,Blang Kuala
11.01.05.2008,Rot Teungoh
11.01.05.2009,Alue Baro
11.01.05.2010,Ladang Tuha
11.01.05.2011,Lhok Mamplam
