level,kode,nama_wilayah,parent_provinsi,parent_kabupaten,jumlah_desa,luas_wilayah,keterangan
kecamatan,11.01.05,Meukek,,KAB. ACEH SELATAN,23.0,,
desa,11.01.05.2001,,,,,,
desa,11.01.05.2002,,,,,,
desa,11.01.05.2003,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.05.2004,,,,,,
desa,11.01.05.2005,,,,,,
desa,11.01.05.2007,,,,,,
desa,11.01.05.2008,,,,,,
desa,11.01.05.2009,,,,,,
desa,11.01.05.2010,,,,,,
desa,11.01.05.2011,,,,,,
desa,11.01.05.2012,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.05.2013,,,,,,
desa,11.01.05.2014,,,,,,
desa,11.01.05.2015,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.05.2016,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.05.2017,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.05.2018,,,,,,
desa,11.01.05.2019,,,,,,
desa,11.01.05.2020,,,,,,
desa,11.01.05.2021,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.05.2022,,,,,,
desa,11.01.05.2023,,,,,,"Pemekaran Desa, Qonun No. 6/2010"
kecamatan,11.01.06,,,,,,
kecamatan,11.01.06,Samadua,,KAB. ACEH SELATAN,28.0,,
desa,11.01.06.2001,,,,,,
desa,11.01.06.2002,,,,,,
desa,11.01.06.2003,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.06.2004,,,,,,
desa,11.01.06.2005,,,,,,
desa,11.01.06.2006,,,,,,
desa,11.01.06.2007,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.06.2008,,,,,,
desa,11.01.06.2009,,,,,,
desa,11.01.06.2011,,,,,,
desa,11.01.06.2012,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.06.2013,,,,,,Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni  2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh
desa,11.01.06.2014,,,,,,
desa,11.01.06.2015,,,,,,
desa,11.01.06.2016,,,,,,
desa,11.01.06.2017,,,,,,Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni  2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh
desa,11.01.06.2018,,,,,,
desa,11.01.06.2019,,,,,,
desa,11.01.06.2020,,,,,,Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni  2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh
desa,11.01.06.2021,,,,,,
desa,11.01.06.2022,,,,,,
desa,11.01.06.2023,,,,,,
desa,11.01.06.2024,,,,,,
desa,11.01.06.2025,,,,,,
desa,11.01.06.2026,,,,,,
desa,11.01.06.2027,,,,,,
desa,11.01.06.2028,,,,,,Qanun No. 5/2007
kecamatan,11.01.07,,,,,,
kecamatan,11.01.07,Sawang,,KAB. ACEH SELATAN,15.0,,
desa,11.01.07.2001,,,,,,
desa,11.01.07.2002,,,,,,
desa,11.01.07.2003,,,,,,
desa,11.01.07.2004,,,,,,
desa,11.01.07.2005,,,,,,
desa,11.01.07.2006,,,,,,
desa,11.01.07.2007,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.07.2008,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.07.2009,,,,,,
desa,11.01.07.2010,,,,,,
desa,11.01.07.2011,,,,,,
desa,11.01.07.2012,,,,,,
desa,11.01.07.2013,,,,,,
desa,11.01.07.2014,,,,,,
kecamatan,11.01.08,Tapaktuan,,KAB. ACEH SELATAN,16.0,,
kecamatan,11.01.08,,,,,,
desa,11.01.08.2001,,,,,,
desa,11.01.08.2002,,,,,,
desa,11.01.08.2003,,,,,,
desa,11.01.08.2004,,,,,,
desa,11.01.08.2005,,,,,,
desa,11.01.08.2006,,,,,,
desa,11.01.08.2007,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.08.2008,,,,,,
desa,11.01.08.2009,,,,,,
desa,11.01.08.2010,,,,,,
desa,11.01.08.2011,,,,,,Koreksi nama 'Air Berundang' Srt Ditjen BPD No 140/5118/BPD tgl 18  Juli 2019
desa,11.01.08.2012,,,,,,
desa,11.01.08.2013,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.08.2014,,,,,,
desa,11.01.08.2015,,,,,,
desa,11.01.08.2016,,,,,,"Pemekaran Desa, Qonun No. 6/2010"
kecamatan,11.01.09,Trumon,,KAB. ACEH SELATAN,12.0,,
kecamatan,11.01.09,,,,,,
desa,11.01.09.2001,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
